time	V(9)	V(10)
1.043641807833385e-002	9.053536e+000	-9.053536e+000
1.141298057833385e-002	9.053941e+000	-9.053941e+000
1.152723533652205e-002	9.054075e+000	-9.054075e+000
1.175574485289844e-002	9.054468e+000	-9.054468e+000
1.221276388565123e-002	9.055275e+000	-9.055275e+000
1.246543555378562e-002	9.055697e+000	-9.055697e+000
1.273715242126958e-002	9.056074e+000	-9.056074e+000
1.313596125551985e-002	9.056410e+000	-9.056410e+000
1.378173038817475e-002	9.056531e+000	-9.056531e+000
1.461531695577623e-002	9.056339e+000	-9.056339e+000
1.537716973672067e-002	9.056078e+000	-9.056078e+000
1.600807054630066e-002	9.055863e+000	-9.055863e+000
1.657756993141255e-002	9.055673e+000	-9.055673e+000
1.714281369105932e-002	9.055486e+000	-9.055486e+000
1.791586467236486e-002	9.055232e+000	-9.055232e+000
1.889242717236486e-002	9.055028e+000	-9.055028e+000
1.973508300773445e-002	9.055101e+000	-9.055101e+000
1.985014605863305e-002	9.055173e+000	-9.055173e+000
2.008027216043026e-002	9.055423e+000	-9.055423e+000
2.054052436402467e-002	9.055988e+000	-9.055988e+000
2.081918279662886e-002	9.056332e+000	-9.056332e+000
2.107807379888936e-002	9.056599e+000	-9.056599e+000
2.148163068484514e-002	9.056833e+000	-9.056833e+000
2.213492480608464e-002	9.056869e+000	-9.056869e+000
2.311148730608464e-002	9.056605e+000	-9.056605e+000
2.403471583624555e-002	9.056286e+000	-9.056286e+000
2.501127833624555e-002	9.055952e+000	-9.055952e+000
2.598784083624555e-002	9.055625e+000	-9.055625e+000
2.696440333624555e-002	9.055374e+000	-9.055374e+000
2.794096583624555e-002	9.055271e+000	-9.055271e+000
2.795622462530805e-002	9.055273e+000	-9.055273e+000
2.798674220343305e-002	9.055284e+000	-9.055284e+000
2.804777735968305e-002	9.055313e+000	-9.055313e+000
2.816984767218305e-002	9.055395e+000	-9.055395e+000
2.841398829718305e-002	9.055623e+000	-9.055623e+000
2.882983896217439e-002	9.056090e+000	-9.056090e+000
2.908536470713872e-002	9.056386e+000	-9.056386e+000
2.938644023703938e-002	9.056685e+000	-9.056685e+000
2.977437011257652e-002	9.056910e+000	-9.056910e+000
3.040287005361592e-002	9.056943e+000	-9.056943e+000
3.137943255361592e-002	9.056678e+000	-9.056678e+000
3.213334062626509e-002	9.056415e+000	-9.056415e+000
3.274134740951918e-002	9.056205e+000	-9.056205e+000
3.329889743201471e-002	9.056015e+000	-9.056015e+000
3.385298673794913e-002	9.055829e+000	-9.055829e+000
3.473581660564151e-002	9.055535e+000	-9.055535e+000
3.571237910564151e-002	9.055318e+000	-9.055318e+000
3.646407867113118e-002	9.055370e+000	-9.055370e+000
3.657463731017954e-002	9.055436e+000	-9.055436e+000
3.679575458827626e-002	9.055662e+000	-9.055662e+000
3.723798914446970e-002	9.056170e+000	-9.056170e+000
3.754054524769195e-002	9.056511e+000	-9.056511e+000
3.781601958616310e-002	9.056756e+000	-9.056756e+000
3.826411116815302e-002	9.056947e+000	-9.056947e+000
3.898760398518579e-002	9.056920e+000	-9.056920e+000
3.996416648518579e-002	9.056637e+000	-9.056637e+000
4.094072898518579e-002	9.056299e+000	-9.056299e+000
4.191729148518579e-002	9.055965e+000	-9.055965e+000
