time	V(1)	V(5)	V(6)
4.166079031044730e-002	3.766065e-001	-4.348103e-002	4.348103e-002
4.263735281044730e-002	-6.083064e+001	7.778688e+000	-7.778688e+000
4.361391531044730e-002	-1.138857e+002	1.455872e+001	-1.455872e+001
4.459047781044730e-002	-1.516784e+002	1.978246e+001	-1.978246e+001
4.500751375156555e-002	-1.618278e+002	2.131004e+001	-2.131004e+001
4.529852830769546e-002	-1.665565e+002	2.196312e+001	-2.196312e+001
4.557819850903491e-002	-1.692142e+002	2.230951e+001	-2.230951e+001
4.588608735762387e-002	-1.699664e+002	2.240755e+001	-2.240755e+001
4.616923150366759e-002	-1.686388e+002	2.219849e+001	-2.219849e+001
4.662971895556102e-002	-1.623956e+002	2.121851e+001	-2.121851e+001
4.737261932048485e-002	-1.421710e+002	1.838563e+001	-1.838563e+001
4.822246364237746e-002	-1.055830e+002	1.367306e+001	-1.367306e+001
4.889342108375862e-002	-6.887978e+001	8.973962e+000	-8.973962e+000
4.950455966440099e-002	-3.156773e+001	4.119306e+000	-4.119306e+000
5.011250226655845e-002	7.207939e+000	-9.435988e-001	9.435988e-001
5.066549873862897e-002	4.220478e+001	-5.452452e+000	5.452452e+000
5.164206123862897e-002	9.864346e+001	-1.260620e+001	1.260620e+001
5.261862373862897e-002	1.418625e+002	-1.837829e+001	1.837829e+001
5.322492415957022e-002	1.593982e+002	-2.093266e+001	2.093266e+001
5.354551385046152e-002	1.653603e+002	-2.179939e+001	2.179939e+001
5.380529791636413e-002	1.684249e+002	-2.221251e+001	2.221251e+001
5.407989232533892e-002	1.699090e+002	-2.239824e+001	2.239824e+001
5.438440452806112e-002	1.694276e+002	-2.230749e+001	2.230749e+001
5.477105967706371e-002	1.656062e+002	-2.170886e+001	2.170886e+001
5.539753366347884e-002	1.520238e+002	-1.967518e+001	1.967518e+001
5.637409616347884e-002	1.144550e+002	-1.462336e+001	1.462336e+001
5.735065866347884e-002	6.154747e+001	-7.861311e+000	7.861311e+000
5.832722116347884e-002	3.917194e-001	-4.541775e-002	4.541775e-002
5.930378366347884e-002	-6.081652e+001	7.776879e+000	-7.776879e+000
6.028034616347884e-002	-1.138745e+002	1.455728e+001	-1.455728e+001
6.125690866347884e-002	-1.516716e+002	1.978147e+001	-1.978147e+001
6.167409202401875e-002	-1.618260e+002	2.130977e+001	-2.130977e+001
6.196512889419923e-002	-1.665556e+002	2.196300e+001	-2.196300e+001
6.224478561894577e-002	-1.692138e+002	2.230946e+001	-2.230946e+001
6.255261277289667e-002	-1.699666e+002	2.240760e+001	-2.240760e+001
6.283566818557616e-002	-1.686407e+002	2.219879e+001	-2.219879e+001
6.329601229002708e-002	-1.624027e+002	2.121958e+001	-2.121958e+001
6.403868857128951e-002	-1.421920e+002	1.838939e+001	-1.838939e+001
6.488648013272196e-002	-1.057161e+002	1.369109e+001	-1.369109e+001
6.555740741502597e-002	-6.903679e+001	8.994360e+000	-8.994360e+000
6.616890902045705e-002	-3.171365e+001	4.138269e+000	-4.138269e+000
6.677734744278649e-002	7.091306e+000	-9.283461e-001	9.283461e-001
6.733090497361247e-002	4.212652e+001	-5.442204e+000	5.442204e+000
6.830746747361247e-002	9.857765e+001	-1.259780e+001	1.259780e+001
6.928402997361247e-002	1.418180e+002	-1.837203e+001	1.837203e+001
6.989110399834618e-002	1.593874e+002	-2.093101e+001	2.093101e+001
7.021181925917806e-002	1.653549e+002	-2.179869e+001	2.179869e+001
7.047151506576134e-002	1.684210e+002	-2.221194e+001	2.221194e+001
7.074645880718873e-002	1.699088e+002	-2.239811e+001	2.239811e+001
7.105103392417006e-002	1.694278e+002	-2.230750e+001	2.230750e+001
7.143766573422715e-002	1.656071e+002	-2.170900e+001	2.170900e+001
7.206410262273487e-002	1.520267e+002	-1.967558e+001	1.967558e+001
7.304066512273487e-002	1.144596e+002	-1.462396e+001	1.462396e+001
7.401722762273487e-002	6.155330e+001	-7.862062e+000	7.862062e+000
7.499379012273487e-002	3.979813e-001	-4.622355e-002	4.622355e-002
7.597035262273487e-002	-6.081068e+001	7.776126e+000	-7.776126e+000
7.694691512273487e-002	-1.138698e+002	1.455668e+001	-1.455668e+001
7.792347762273487e-002	-1.516688e+002	1.978105e+001	-1.978105e+001
7.834072206489409e-002	-1.618253e+002	2.130965e+001	-2.130965e+001
7.863176818091501e-002	-1.665553e+002	2.196295e+001	-2.196295e+001
7.891141932188084e-002	-1.692136e+002	2.230943e+001	-2.230943e+001
7.921922091308950e-002	-1.699666e+002	2.240763e+001	-2.240763e+001
7.950223955972614e-002	-1.686414e+002	2.219891e+001	-2.219891e+001
7.996252426874043e-002	-1.624056e+002	2.122002e+001	-2.122002e+001
8.070510769942484e-002	-1.422006e+002	1.839153e+001	-1.839153e+001
8.155076788353174e-002	-1.058354e+002	1.370740e+001	-1.370740e+001
8.222163308798171e-002	-6.917972e+001	9.012933e+000	-9.012933e+000
8.283348742348716e-002	-3.184512e+001	4.155349e+000	-4.155349e+000
8.344240941830999e-002	6.988552e+000	-9.149097e-001	9.149097e-001
8.399647872860039e-002	4.205866e+001	-5.433313e+000	5.433313e+000
8.497304122860039e-002	9.852058e+001	-1.259051e+001	1.259051e+001
8.594960372860039e-002	1.417793e+002	-1.836660e+001	1.836660e+001
8.655734847462768e-002	1.593780e+002	-2.092957e+001	2.092957e+001
8.687817264272438e-002	1.653502e+002	-2.179807e+001	2.179807e+001
8.713779190709788e-002	1.684176e+002	-2.221145e+001	2.221145e+001
8.741303859404223e-002	1.699086e+002	-2.239801e+001	2.239801e+001
8.771766826991716e-002	1.694280e+002	-2.230752e+001	2.230752e+001
8.810427984048655e-002	1.656078e+002	-2.170913e+001	2.170913e+001
8.873068455762405e-002	1.520291e+002	-1.967592e+001	1.967592e+001
8.970724705762405e-002	1.144636e+002	-1.462447e+001	1.462447e+001
9.068380955762405e-002	6.155836e+001	-7.862715e+000	7.862715e+000
9.166037205762405e-002	4.034116e-001	-4.692289e-002	4.692289e-002
9.263693455762405e-002	-6.080560e+001	7.775473e+000	-7.775473e+000
9.361349705762405e-002	-1.138658e+002	1.455616e+001	-1.455616e+001
9.459005955762405e-002	-1.516663e+002	1.978069e+001	-1.978069e+001
9.500735696952417e-002	-1.618247e+002	2.130955e+001	-2.130955e+001
9.529841110362436e-002	-1.665550e+002	2.196290e+001	-2.196290e+001
9.557805740240373e-002	-1.692134e+002	2.230941e+001	-2.230941e+001
9.588583682558566e-002	-1.699667e+002	2.240764e+001	-2.240764e+001
9.616882358868914e-002	-1.686421e+002	2.219902e+001	-2.219902e+001
9.662905678974036e-002	-1.624082e+002	2.122040e+001	-2.122040e+001
9.737155969888303e-002	-1.422082e+002	1.839351e+001	-1.839351e+001
9.821506665951590e-002	-1.059541e+002	1.372363e+001	-1.372363e+001
9.888586555229763e-002	-6.932220e+001	9.031446e+000	-9.031446e+000
9.949807581359180e-002	-3.197595e+001	4.172344e+000	-4.172344e+000
1.001074829042507e-001	6.886532e+000	-9.015699e-001	9.015699e-001
1.006620599549628e-001	4.199126e+001	-5.424483e+000	5.424483e+000
1.016386224549628e-001	9.846388e+001	-1.258327e+001	1.258327e+001
1.026151849549628e-001	1.417409e+002	-1.836120e+001	1.836120e+001
1.032235957769829e-001	1.593686e+002	-2.092815e+001	2.092815e+001
1.035445281321664e-001	1.653456e+002	-2.179747e+001	2.179747e+001
1.038040713654696e-001	1.684142e+002	-2.221097e+001	2.221097e+001
1.040796189653755e-001	1.699085e+002	-2.239791e+001	2.239791e+001
1.043843028330437e-001	1.694281e+002	-2.230754e+001	2.230754e+001
1.047708943002292e-001	1.656086e+002	-2.170925e+001	2.170925e+001
1.053972670622116e-001	1.520315e+002	-1.967626e+001	1.967626e+001
1.063738295622116e-001	1.144676e+002	-1.462499e+001	1.462499e+001
1.073503920622116e-001	6.156339e+001	-7.863363e+000	7.863363e+000
1.083269545622116e-001	4.088054e-001	-4.761768e-002	4.761768e-002
1.093035170622116e-001	-6.080057e+001	7.774824e+000	-7.774824e+000
1.102800795622116e-001	-1.138618e+002	1.455564e+001	-1.455564e+001
1.112566420622116e-001	-1.516639e+002	1.978033e+001	-1.978033e+001
1.116739920875389e-001	-1.618241e+002	2.130945e+001	-2.130945e+001
1.119650541858956e-001	-1.665547e+002	2.196286e+001	-2.196286e+001
1.122446956751033e-001	-1.692132e+002	2.230939e+001	-2.230939e+001
1.125524530792695e-001	-1.699668e+002	2.240766e+001	-2.240766e+001
1.128354081731604e-001	-1.686428e+002	2.219912e+001	-2.219912e+001
1.132955902122940e-001	-1.624107e+002	2.122078e+001	-2.122078e+001
1.140380131398097e-001	-1.422157e+002	1.839549e+001	-1.839549e+001
1.148793505719301e-001	-1.060735e+002	1.373995e+001	-1.373995e+001
1.155500816417421e-001	-6.946557e+001	9.050076e+000	-9.050076e+000
1.161626524254172e-001	-3.210750e+001	4.189431e+000	-4.189431e+000
1.167725475013346e-001	6.783941e+000	-8.881561e-001	8.881561e-001
1.173276326975023e-001	4.192332e+001	-5.415584e+000	5.415584e+000
1.183041951975023e-001	9.840672e+001	-1.257597e+001	1.257597e+001
1.192807576975023e-001	1.417022e+002	-1.835576e+001	1.835576e+001
1.198898397408582e-001	1.593592e+002	-2.092672e+001	2.092672e+001
1.202108811532941e-001	1.653409e+002	-2.179685e+001	2.179685e+001
1.204703477490255e-001	1.684108e+002	-2.221048e+001	2.221048e+001
1.207461986526661e-001	1.699083e+002	-2.239780e+001	2.239780e+001
1.210509371416345e-001	1.694283e+002	-2.230755e+001	2.230755e+001
1.214375083460245e-001	1.656094e+002	-2.170937e+001	2.170937e+001
1.220638488993325e-001	1.520339e+002	-1.967660e+001	1.967660e+001
1.230404113993325e-001	1.144716e+002	-1.462551e+001	1.462551e+001
1.240169738993325e-001	6.156846e+001	-7.864016e+000	7.864016e+000
1.249935363993325e-001	4.142420e-001	-4.831794e-002	4.831794e-002
1.259700988993325e-001	-6.079549e+001	7.774169e+000	-7.774169e+000
1.269466613993325e-001	-1.138577e+002	1.455512e+001	-1.455512e+001
1.279232238993325e-001	-1.516614e+002	1.977997e+001	-1.977997e+001
1.283406269551794e-001	-1.618234e+002	2.130935e+001	-2.130935e+001
1.286316970810430e-001	-1.665544e+002	2.196281e+001	-2.196281e+001
1.289113337225940e-001	-1.692130e+002	2.230936e+001	-2.230936e+001
1.292190689330806e-001	-1.699668e+002	2.240767e+001	-2.240767e+001
1.295019921065485e-001	-1.686434e+002	2.219923e+001	-2.219923e+001
1.299621225777401e-001	-1.624132e+002	2.122117e+001	-2.122117e+001
1.307044648878281e-001	-1.422232e+002	1.839749e+001	-1.839749e+001
1.315436169210498e-001	-1.061937e+002	1.375639e+001	-1.375639e+001
1.322142789080891e-001	-6.960999e+001	9.068840e+000	-9.068840e+000
1.328272150262260e-001	-3.223991e+001	4.206629e+000	-4.206629e+000
1.334376011285851e-001	6.680645e+000	-8.746507e-001	8.746507e-001
1.339931953079467e-001	4.185474e+001	-5.406602e+000	5.406602e+000
1.349697578079467e-001	9.834901e+001	-1.256860e+001	1.256860e+001
1.359463203079467e-001	1.416631e+002	-1.835027e+001	1.835027e+001
1.365560797276729e-001	1.593496e+002	-2.092527e+001	2.092527e+001
1.368772312325161e-001	1.653362e+002	-2.179624e+001	2.179624e+001
1.371366204683648e-001	1.684073e+002	-2.220998e+001	2.220998e+001
1.374127775245823e-001	1.699081e+002	-2.239770e+001	2.239770e+001
1.377175711468300e-001	1.694285e+002	-2.230757e+001	2.230757e+001
1.381041218984160e-001	1.656101e+002	-2.170950e+001	2.170950e+001
1.387304299408923e-001	1.520364e+002	-1.967694e+001	1.967694e+001
1.397069924408923e-001	1.144757e+002	-1.462603e+001	1.462603e+001
1.406835549408923e-001	6.157357e+001	-7.864676e+000	7.864676e+000
1.416601174408923e-001	4.197296e-001	-4.902468e-002	4.902468e-002
1.426366799408923e-001	-6.079036e+001	7.773509e+000	-7.773509e+000
1.436132424408923e-001	-1.138537e+002	1.455459e+001	-1.455459e+001
1.445898049408923e-001	-1.516590e+002	1.977961e+001	-1.977961e+001
1.450072615244238e-001	-1.618228e+002	2.130925e+001	-2.130925e+001
1.452983397531688e-001	-1.665541e+002	2.196276e+001	-2.196276e+001
1.455779715016596e-001	-1.692128e+002	2.230934e+001	-2.230934e+001
1.458856843102887e-001	-1.699669e+002	2.240769e+001	-2.240769e+001
1.461685752639214e-001	-1.686441e+002	2.219934e+001	-2.219934e+001
1.466286536832708e-001	-1.624158e+002	2.122155e+001	-2.122155e+001
1.473709146183576e-001	-1.422308e+002	1.839951e+001	-1.839951e+001
1.482078653054448e-001	-1.063147e+002	1.377294e+001	-1.377294e+001
1.488784569559477e-001	-6.975546e+001	9.087742e+000	-9.087742e+000
1.494917633214421e-001	-3.237320e+001	4.223940e+000	-4.223940e+000
1.501026435242127e-001	6.576627e+000	-8.610517e-001	8.610517e-001
1.506587475617525e-001	4.178551e+001	-5.397536e+000	5.397536e+000
1.516353100617525e-001	9.829075e+001	-1.256116e+001	1.256116e+001
1.526118725617525e-001	1.416236e+002	-1.834472e+001	1.834472e+001
1.532223156487977e-001	1.593400e+002	-2.092381e+001	2.092381e+001
1.535435783043329e-001	1.653315e+002	-2.179561e+001	2.179561e+001
1.538028894418827e-001	1.684039e+002	-2.220948e+001	2.220948e+001
1.540793555629645e-001	1.699079e+002	-2.239759e+001	2.239759e+001
1.543842048418726e-001	1.694286e+002	-2.230758e+001	2.230758e+001
