VoutVin,	logf
0.02,	2
0.09,	2.698970004
0.17,	3
0.32,	3.301029996
0.44,	3.477121255
0.54,	3.602059991
0.62,	3.698970004
0.69,	3.77815125
0.74,	3.84509804
0.77,	3.903089987
0.81,	3.954242509
0.82,	4
0.98,	5
