astar	dijkstra	label
0.0010006427764892578	0.09500002861022949	b
0.0019986629486083984	0.07200217247009277	b
0.0069959163665771484	0.7170004844665527	b
0.34999680519104004	0.6669974327087402	b
0.0030002593994140625	0.18599700927734375	b
0.19300293922424316	0.6320550441741943	b
0.0989995002746582	0.047997474670410156	b
0.03157162666320801	0.7092399597167969	b
0.00799703598022461	0.4678373336791992	b
0.09799885749816895	0.054015398025512695	b
0.00800013542175293	0.34999942779541016	b
0.002996683120727539	0.33099937438964844	b
0.054999589920043945	0.06800007820129395	b
0.0029969215393066406	0.30500268936157227	b
0.0010001659393310547	0.016002416610717773	b
0.004004955291748047	0.5859975814819336	b
0.09100127220153809	0.04499530792236328	b
0.01199650764465332	0.23801445960998535	b
0.007000446319580078	0.6269998550415039	b
0.005000114440917969	0.6070077419281006	b
0.0009975433349609375	0.09051012992858887	b
0.003996133804321289	0.5241861343383789	b
0.1100003719329834	0.7900216579437256	b
0.007999897003173828	0.2650003433227539	b
0.10800004005432129	0.056997060775756836	b
0.005003452301025391	0.17404460906982422	b
0.0019974708557128906	0.2440013885498047	b
0.004998207092285156	0.7299990653991699	b
0.007999658584594727	0.6659696102142334	b
0.25299882888793945	0.44899964332580566	b
