astar	dijkstra	label
42.5	42.5	b
71.5	66.5	b
207.0	198.0	b
204.5	197.5	b
98.0	98.0	b
156.5	155.5	b
-1	-1	b
204.5	188.5	b
185.0	175.0	b
-1	-1	b
112.0	105.0	b
127.5	123.5	b
-1	-1	b
88.5	85.5	b
15.0	15.0	b
117.5	117.5	b
-1	-1	b
127.0	127.0	b
234.0	215.0	b
159.5	148.5	b
38.5	38.5	b
161.0	161.0	b
199.5	184.0	b
85.0	75.5	b
-1	-1	b
72.0	71.5	b
63.5	63.5	b
149.5	139.5	b
207.5	202.5	b
183.0	176.0	b
