astar   dijkstra
119     3225
319     2522
2364    23066
5315    21961
1098    6149
3300    21317
1577    1577
3707    24026
2620    15433
1577    1577
1104    10943
868     11202
1577    1577
709     10370
36      516
1018    19819
1577    1577
2407    8053
1280    22169
1166    21310
158     3073
995     18156
4753    26871
818     9165
1577    1577
1224    5856
194     8172
874     24548
1232    22407
4225    14819
 
