VoutVin,	logf
0.92,	2
0.91,	2.698970004
0.90,	3
0.89,	3.301029996
0.79,	3.602059991
0.70,	3.77815125
0.60,	3.903089987
0.53,	4
0.32,	4.301029996
0.24,	4.477121255
0.16,	4.698970004
0.13,	4.84509804
0.10,	5
