time	V(n001)	V(n003)	V(n005)
0.000000000000000e+000	9.000000e+000	4.279711e-001	-2.357595e-001
3.391562498888694e-006	9.000000e+000	4.279711e-001	-2.357595e-001
6.783124997777389e-006	9.000000e+000	4.279711e-001	-2.357595e-001
1.017468749666608e-005	9.000000e+000	4.279711e-001	-2.357595e-001
1.356624999555478e-005	9.000000e+000	4.279711e-001	-2.357595e-001
1.695781249444347e-005	9.000000e+000	4.279711e-001	-2.357595e-001
2.034937499333217e-005	9.000000e+000	4.279711e-001	-2.357595e-001
2.374093749222085e-005	9.000000e+000	4.279711e-001	-2.357595e-001
2.987933034936371e-005	9.000000e+000	4.279711e-001	-2.357595e-001
3.601772320650658e-005	9.000000e+000	4.279711e-001	-2.357595e-001
4.215611606364944e-005	9.000000e+000	4.279711e-001	-2.357595e-001
4.829450892079230e-005	9.000000e+000	4.279711e-001	-2.357595e-001
5.443290177793517e-005	9.000000e+000	4.279711e-001	-2.357595e-001
6.057129463507803e-005	9.000000e+000	4.279711e-001	-2.357595e-001
6.670968749222088e-005	9.000000e+000	4.279711e-001	-2.357595e-001
7.814941963507804e-005	9.000000e+000	4.279711e-001	-2.357595e-001
8.958915177793519e-005	9.000000e+000	4.279711e-001	-2.357595e-001
1.010288839207924e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.124686160636495e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.239083482065066e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.353480803493638e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.467878124922209e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.547398214207924e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.626918303493638e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.706438392779353e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.785958482065067e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.865478571350781e-004	9.000000e+000	4.279711e-001	-2.357595e-001
1.944998660636496e-004	9.000000e+000	4.279711e-001	-2.357595e-001
2.024518749922210e-004	9.000000e+000	4.279711e-001	-2.357595e-001
2.074741964207924e-004	9.000000e+000	4.279711e-001	-2.357595e-001
2.124965178493639e-004	9.000000e+000	4.279711e-001	-2.357595e-001
2.175188392779353e-004	9.000000e+000	4.279711e-001	-2.357595e-001
