MRV (s)	FA (s)	label
0.006587210999896342	0.17161063100047613	b
0.023336445000495587	0.5725554480004575	b
0.023557374999654712	0.06425591100014572	b
1.1316125100001955	0.15410949400029494	b
0.3014309439995486	20.51769404100014	b
4.48857792400031	0.3460623500004658	b
1.280157858000166	9.146978998000122	b
0.014748229999895557	4.042130574000112	b
1.0798633080003128	7.875270699999419	b
1.6027077340004325	3.972903591999966	b
0.20746463500017853	0.7253803819994573	b
0.024385973999415	0.07035340599941264	b
0.040627692000271054	0.08841250000023138	b
0.42241899900000135	0.4638256309999633	b
0.060424522000175784	5.443539070000043	b
0.26681135400031053	1.3197822269994504	b
0.01415743300003669	0.7461982109998644	b
1.2118587899994964	2.8470090589999018	b
0.0021065929995529586	0.0028470549996200134	b
0.04357784400053788	0.009993743999984872	b
2.1965605929999583	2.992056887000217	b
0.003790752999520919	0.017690372999823012	b
0.04157279099945299	0.20208711799932644	b
0.040280029000314244	0.04644993700003397	b
0.023437513999851944	0.0034446460003891843	b
0.2037775809994855	0.6905434319996857	b
0.12257427599979565	0.11543143000017153	b
2.7878007809995324	0.13847404999978608	b
0.009802137999940896	0.04415382200022577	b
0.0524348650005777	0.020332476000476163	b
0.02487119299985352	0.005636340999444656	b
0.008981203999610443	0.030234677999942505	b
0.004130057999645942	0.007006134000221209	b
2.010454225000103	0.6366044509995845	b
0.11205674099983298	0.057130925999445026	b
0.02126168700033304	0.3056579679996503	b
0.09355218300061097	0.18860000099994068	b
0.026697228000557516	0.02344275999985257	b
0.1777310369998304	0.05228468199948111	b
0.011351899000146659	0.014863311999761208	b
0.3652339000000211	13.941979062999962	b
0.16633920799995394	0.09362604600028135	b
0.10998871799984045	0.009440299000743835	b
0.018329139000343275	0.010001374000239593	b
0.032617274000585894	0.013292554999679851	b
1.1497776380001596	5.070981375999509	b
0.06805244000042876	0.3090951699996367	b
0.019840234000184864	0.033003930000631954	b
0.16727146400080528	1.5647289950002232	b
0.03436435999992682	0.2609200619999683	b
0.009015919000376016	0.024454637999951956	b
0.008323242999722424	0.06158437700014474	b
0.004854332999457256	0.009770659999958298	b
0.0092923169995629	0.011912779000340379	b
0.022609960999943723	0.18774980600028357	b
0.009496460999798728	0.01171526000052836	b
0.05364740200002416	0.09711235400027363	b
0.028992780000407947	0.03146876499977225	b
0.02220756299993809	0.019420024000282865	b
0.04064350600037869	0.013844224999957078	b
0.08293371400031901	0.013147368000318238	b
0.029011505000198667	3.3223412509996706	b
0.006118078999861609	0.06317474500065146	b
0.11317803199926857	0.21341256400046404	b
0.0008445399998890935	0.0008614070002295193	b
0.03438198099956935	0.31554162700012967	b
0.049216438999792445	0.03092979400025797	b
0.05998965899925679	0.058155466000243905	b
0.06374629299989465	0.03289325599962467	b
0.04977987299935194	0.14747888300007617	b
1.4085315849997642	6.313648918000581	b
0.006204383999829588	0.0693031479995625	b
0.09092797599987534	0.08447994499965716	b
0.08257679300004384	0.056218124000224634	b
0.08146051699986856	0.024893998999687028	b
0.04754132000016398	0.31913579299998673	b
0.030470032999801333	0.006641113000114274	b
0.009066792999874451	0.18963888899997983	b
0.14547619400036638	0.039015520000248216	b
0.021617905999846698	0.0528042430005371	b
0.07709551399966585	0.08890185099971859	b
0.06780934600010369	0.13498911199985741	b
0.0945432560001791	0.2900743489999513	b
0.026262981000400032	0.05020985800001654	b
0.015869357000156015	0.012740843999381468	b
0.005250330000308168	0.0024656140003571636	b
0.06536446100017201	0.10862141500001599	b
0.0028287220002312097	0.005182529999729013	b
0.05956997999965097	0.3322713419993306	b
0.011434197000198765	0.001436085000023013	b
0.012063724000654474	0.018065537999973458	b
0.0033915849999175407	0.013443116999951599	b
0.02254274599999917	0.09393583299970487	b
0.014199307000126282	0.6360581919998367	b
0.08200742299959529	0.1461459759993886	b
