astar	dijkstra	label
0.0010004043579101562	0.09900259971618652	b
0.0029993057250976562	0.08600139617919922	b
0.007998943328857422	0.8040637969970703	b
0.2900233268737793	0.6499991416931152	b
0.0039997100830078125	0.18399572372436523	b
0.17300152778625488	0.6120011806488037	b
0.08700013160705566	0.04699969291687012	b
0.02699875831604004	0.6959764957427979	b
0.00699615478515625	0.44101595878601074	b
0.08500003814697266	0.045998573303222656	b
0.007999658584594727	0.31853485107421875	b
0.005002737045288086	0.3380284309387207	b
0.05899858474731445	0.04699850082397461	b
0.003999471664428711	0.3340017795562744	b
0.0	0.01900172233581543	b
0.003997802734375	0.6352264881134033	b
0.1139974594116211	0.05999922752380371	b
0.012000083923339844	0.24500155448913574	b
0.006996870040893555	0.6679623126983643	b
0.004999876022338867	0.644486665725708	b
0.0010039806365966797	0.09098362922668457	b
0.005000114440917969	0.5259666442871094	b
0.09100103378295898	0.7626028060913086	b
0.0069997310638427734	0.28699707984924316	b
0.09999728202819824	0.044999122619628906	b
0.005000114440917969	0.16700077056884766	b
0.002002716064453125	0.23699951171875	b
0.005000114440917969	0.7050473690032959	b
0.007003307342529297	0.6439948081970215	b
0.2239973545074463	0.4290018081665039	b
