time	V(n002)	V(n005)
4.989083482065069e-004	-1.369975e-003	-1.314604e-003
5.004429464207926e-004	5.584115e-004	5.944739e-004
5.019775446350783e-004	2.485516e-003	2.501976e-003
5.035121428493641e-004	4.411339e-003	4.407903e-003
5.050467410636498e-004	6.335880e-003	6.312255e-003
5.065813392779355e-004	8.259140e-003	8.215031e-003
5.081159374922212e-004	1.018112e-002	1.011623e-002
5.124407142779355e-004	1.560846e-002	1.548321e-002
5.167654910636498e-004	2.095102e-002	2.076391e-002
5.210902678493641e-004	2.620880e-002	2.595834e-002
5.254150446350783e-004	3.138178e-002	3.106650e-002
5.297398214207926e-004	3.646997e-002	3.608840e-002
5.340645982065069e-004	4.147338e-002	4.102402e-002
5.383893749922212e-004	4.639200e-002	4.587337e-002
5.455043303493641e-004	5.424597e-002	5.361027e-002
5.526192857065069e-004	6.153439e-002	6.078256e-002
5.597342410636498e-004	6.825726e-002	6.739025e-002
5.668491964207926e-004	7.441458e-002	7.343334e-002
5.739641517779355e-004	8.000634e-002	7.891182e-002
5.810791071350785e-004	8.503256e-002	8.382570e-002
5.881940624922213e-004	8.949322e-002	8.817498e-002
6.011683928493642e-004	9.551271e-002	9.399749e-002
6.141427232065070e-004	9.897054e-002	9.728588e-002
6.271170535636499e-004	9.986672e-002	9.804015e-002
6.400913839207927e-004	9.820124e-002	9.626030e-002
6.530657142779356e-004	9.397411e-002	9.194633e-002
6.660400446350785e-004	8.718533e-002	8.509823e-002
6.790143749922213e-004	7.783489e-002	7.571602e-002
6.851527678493642e-004	7.267489e-002	7.055683e-002
6.912911607065070e-004	6.717056e-002	6.506100e-002
6.974295535636500e-004	6.132193e-002	5.922851e-002
7.035679464207928e-004	5.512897e-002	5.305938e-002
7.097063392779357e-004	4.859170e-002	4.655360e-002
7.158447321350786e-004	4.171011e-002	3.971117e-002
7.219831249922214e-004	3.448420e-002	3.253210e-002
7.253313392779357e-004	3.048731e-002	2.856369e-002
7.286795535636500e-004	2.645449e-002	2.456125e-002
7.320277678493643e-004	2.238574e-002	2.052478e-002
7.353759821350785e-004	1.828106e-002	1.645429e-002
7.387241964207928e-004	1.414045e-002	1.234977e-002
7.420724107065071e-004	9.963907e-003	8.211224e-003
7.454206249922214e-004	5.751437e-003	4.038653e-003
7.561628124922214e-004	-7.736680e-003	-9.310951e-003
7.603480803493643e-004	-1.300243e-002	-1.451815e-002
7.645333482065071e-004	-1.819689e-002	-1.965241e-002
7.687186160636500e-004	-2.332007e-002	-2.471373e-002
7.729038839207928e-004	-2.837195e-002	-2.970212e-002
7.770891517779357e-004	-3.335256e-002	-3.461757e-002
7.812744196350786e-004	-3.826187e-002	-3.946009e-002
7.854596874922214e-004	-4.309990e-002	-4.422967e-002
7.924351339207928e-004	-5.096053e-002	-5.197252e-002
7.994105803493643e-004	-5.830077e-002	-5.919546e-002
8.063860267779358e-004	-6.512061e-002	-6.589847e-002
8.133614732065072e-004	-7.142006e-002	-7.208155e-002
8.203369196350787e-004	-7.719911e-002	-7.774471e-002
8.273123660636501e-004	-8.245776e-002	-8.288795e-002
8.342878124922215e-004	-8.719601e-002	-8.751126e-002
8.479596874922215e-004	-9.426744e-002	-9.436303e-002
8.616315624922215e-004	-9.849899e-002	-9.840673e-002
8.753034374922215e-004	-9.989067e-002	-9.964238e-002
8.889753124922215e-004	-9.844246e-002	-9.806996e-002
9.026471874922215e-004	-9.415438e-002	-9.368948e-002
9.163190624922215e-004	-8.702642e-002	-8.650094e-002
9.299909374922216e-004	-7.705858e-002	-7.650434e-002
9.361293303493645e-004	-7.182680e-002	-7.127648e-002
9.422677232065073e-004	-6.625661e-002	-6.571772e-002
9.484061160636502e-004	-6.034803e-002	-5.982807e-002
9.545445089207930e-004	-5.410105e-002	-5.360753e-002
9.606829017779359e-004	-4.751567e-002	-4.705609e-002
9.668212946350788e-004	-4.059190e-002	-4.017377e-002
9.729596874922216e-004	-3.332972e-002	-3.296055e-002
9.827253124922210e-004	-2.153792e-002	-2.125940e-002
9.849574553493635e-004	-1.878518e-002	-1.852966e-002
9.871895982065061e-004	-1.602311e-002	-1.579132e-002
9.894217410636487e-004	-1.325172e-002	-1.304440e-002
9.916538839207915e-004	-1.047101e-002	-1.028888e-002
9.938860267779341e-004	-7.680965e-003	-7.524788e-003
9.961181696350767e-004	-4.881600e-003	-4.752103e-003
9.983503124922192e-004	-2.072910e-003	-1.970832e-003
9.993268749922191e-004	-8.458637e-004	-7.559662e-004
1.000000000000000e-003	-4.898587e-017	8.145431e-005
