time	V(n002)	V(n005)	V(n007)
0.000000000000000e+000	2.212143e-001	-8.004180e+000	-8.684800e+000
3.439642856587206e-006	2.212143e-001	-8.004180e+000	-8.684800e+000
6.879285713174412e-006	2.212143e-001	-8.004180e+000	-8.684800e+000
1.031892856976162e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
1.375857142634882e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
1.719821428293603e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
2.063785713952324e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
2.407749999611044e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
3.021589285325330e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
3.635428571039616e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
4.249267856753902e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
4.863107142468189e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
5.476946428182475e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
6.090785713896761e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
6.704624999611046e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
7.869524553182476e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
9.034424106753906e-005	2.212143e-001	-8.004180e+000	-8.684800e+000
1.019932366032534e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.136422321389677e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.252912276746820e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.369402232103962e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.485892187461105e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.565412276746820e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.644932366032534e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.724452455318249e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.803972544603963e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.883492633889677e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
1.963012723175391e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.042532812461106e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.092058482103963e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.141584151746820e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.191109821389677e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.240635491032535e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.290161160675392e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
2.339686830318249e-004	2.212143e-001	-8.004180e+000	-8.684800e+000
