time	V(n002)	V(n003)
5.135567857065069e-004	1.699592e-002	8.752448e-003
5.180210714207926e-004	2.249487e-002	1.159034e-002
5.224853571350783e-004	2.789799e-002	1.437893e-002
5.269496428493641e-004	3.320527e-002	1.711822e-002
5.314139285636498e-004	3.841671e-002	1.980821e-002
5.358782142779355e-004	4.353231e-002	2.244890e-002
5.403424999922212e-004	4.855208e-002	2.504028e-002
5.475969642779355e-004	5.644215e-002	2.911384e-002
5.548514285636498e-004	6.372710e-002	3.287542e-002
5.621058928493641e-004	7.040691e-002	3.632503e-002
5.693603571350784e-004	7.648161e-002	3.946266e-002
5.766148214207926e-004	8.195117e-002	4.228833e-002
5.838692857065069e-004	8.681561e-002	4.480202e-002
5.911237499922213e-004	9.107493e-002	4.700373e-002
6.038190624922213e-004	9.641852e-002	4.976855e-002
6.165143749922213e-004	9.931347e-002	5.126970e-002
6.292096874922213e-004	9.975978e-002	5.150717e-002
6.419049999922213e-004	9.775745e-002	5.048096e-002
6.546003124922213e-004	9.330647e-002	4.819107e-002
6.672956249922213e-004	8.640685e-002	4.463751e-002
6.799909374922213e-004	7.705858e-002	3.982027e-002
6.861293303493642e-004	7.182680e-002	3.712336e-002
6.922677232065070e-004	6.625661e-002	3.425162e-002
6.984061160636500e-004	6.034803e-002	3.120506e-002
7.045445089207928e-004	5.410105e-002	2.798367e-002
7.106829017779357e-004	4.751567e-002	2.458745e-002
7.168212946350786e-004	4.059190e-002	2.101641e-002
7.229596874922214e-004	3.332972e-002	1.727055e-002
7.263079017779357e-004	2.931630e-002	1.520028e-002
7.296561160636500e-004	2.526907e-002	1.311250e-002
7.330043303493643e-004	2.118804e-002	1.100720e-002
7.363525446350785e-004	1.707321e-002	8.884377e-003
7.397007589207928e-004	1.292457e-002	6.744040e-003
7.430489732065071e-004	8.742129e-003	4.586185e-003
7.463971874922214e-004	4.525881e-003	2.410813e-003
7.482108035636500e-004	2.245224e-003	1.234076e-003
7.500244196350785e-004	-3.364332e-005	5.823988e-005
7.518380357065071e-004	-2.310720e-003	-1.116695e-003
7.536516517779357e-004	-4.586007e-003	-2.290728e-003
7.554652678493643e-004	-6.859504e-003	-3.463861e-003
7.572788839207928e-004	-9.131211e-003	-4.636092e-003
7.590924999922214e-004	-1.140113e-002	-5.807422e-003
7.636962946350785e-004	-1.717267e-002	-8.785778e-003
7.683000892779357e-004	-2.284037e-002	-1.171069e-002
7.729038839207928e-004	-2.840423e-002	-1.458216e-002
7.775076785636500e-004	-3.386425e-002	-1.740019e-002
7.821114732065071e-004	-3.922042e-002	-2.016478e-002
7.867152678493643e-004	-4.447275e-002	-2.287593e-002
7.913190624922214e-004	-4.962123e-002	-2.553363e-002
7.987130357065071e-004	-5.760088e-002	-2.965319e-002
