astar	dijkstra	label
0.003997802734375	0.09655117988586426	b
0.015999555587768555	0.07499980926513672	b
0.33351731300354004	0.7500026226043701	b
0.35700035095214844	0.670520544052124	b
0.08256936073303223	0.1790003776550293	b
0.18400120735168457	0.6265363693237305	b
0.0749971866607666	0.04900217056274414	b
0.2610011100769043	0.7110202312469482	b
0.18599939346313477	0.45563602447509766	b
0.07699847221374512	0.0540013313293457	b
0.07800412178039551	0.32800865173339844	b
0.04799985885620117	0.3880424499511719	b
0.05600118637084961	0.05500054359436035	b
0.034001827239990234	0.30899739265441895	b
0.001997709274291992	0.016000032424926758	b
0.05599808692932129	0.5970020294189453	b
0.07099676132202148	0.048005104064941406	b
0.15400314331054688	0.24488282203674316	b
0.05299949645996094	0.6542136669158936	b
0.3080012798309326	0.6250102519989014	b
0.005999326705932617	0.09199881553649902	b
0.07200145721435547	0.5250005722045898	b
0.35404133796691895	0.8010010719299316	b
0.056998252868652344	0.27899932861328125	b
0.0780029296875	0.0460052490234375	b
0.06296563148498535	0.17499327659606934	b
0.00899958610534668	0.2369997501373291	b
0.07000255584716797	0.7322654724121094	b
0.10596179962158203	0.6589975357055664	b
0.22852706909179688	0.4373779296875	b
